t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
0.068000,0.01270883,0.00000239,0.51000165,0.00002021,-0.00620567,0.00000502,0.07903924,0.00006613,0.00032907,0.00027665,-0.18689850,0.00012671
0.070000,0.01286801,0.00000252,0.51000233,0.00002076,-0.00658121,0.00000526,0.08123704,0.00006742,0.00037631,0.00026818,-0.19031190,0.00012827
0.072000,0.01303158,0.00000266,0.51000311,0.00002129,-0.00696344,0.00000551,0.08342564,0.00006861,0.00042307,0.00025949,-0.19346351,0.00012968
0.074000,0.01319952,0.00000279,0.51000398,0.00002180,-0.00735185,0.00000576,0.08560493,0.00006970,0.00046949,0.00025064,-0.19635108,0.00013096
0.076000,0.01337181,0.00000293,0.51000494,0.00002229,-0.00774589,0.00000601,0.08777485,0.00007069,0.00051572,0.00024164,-0.19897275,0.00013209
0.078000,0.01354845,0.00000308,0.51000599,0.00002277,-0.00814505,0.00000626,0.08993533,0.00007159,0.00056193,0.00023254,-0.20132707,0.00013309
0.080000,0.01372939,0.00000322,0.51000714,0.00002322,-0.00854878,0.00000651,0.09208631,0.00007240,0.00060825,0.00022335,-0.20341286,0.00013393
0.082000,0.01391464,0.00000336,0.51000838,0.00002366,-0.00895655,0.00000677,0.09422776,0.00007312,0.00065487,0.00021411,-0.20522927,0.00013464
0.084000,0.01410416,0.00000351,0.51000971,0.00002408,-0.00936781,0.00000702,0.09635962,0.00007376,0.00070192,0.00020483,-0.20677567,0.00013519
0.086000,0.01429794,0.00000366,0.51001114,0.00002448,-0.00978204,0.00000728,0.09848189,0.00007431,0.00074958,0.00019555,-0.20805166,0.00013560
0.088000,0.01449596,0.00000381,0.51001266,0.00002486,-0.01019868,0.00000754,0.10059452,0.00007479,0.00079801,0.00018628,-0.20905700,0.00013587
0.090000,0.01469821,0.00000396,0.51001429,0.00002522,-0.01061719,0.00000779,0.10269752,0.00007519,0.00084736,0.00017704,-0.20979161,0.00013599
0.092000,0.01490465,0.00000411,0.51001601,0.00002556,-0.01103704,0.00000805,0.10479085,0.00007552,0.00089779,0.00016784,-0.21025553,0.00013596
0.094000,0.01511527,0.00000426,0.51001783,0.00002589,-0.01145768,0.00000831,0.10687453,0.00007578,0.00094947,0.00015871,-0.21044890,0.00013579
0.096000,0.01533006,0.00000441,0.51001975,0.00002619,-0.01187857,0.00000857,0.10894853,0.00007597,0.00100255,0.00014965,-0.21037194,0.00013546
0.098000,0.01554899,0.00000456,0.51002178,0.00002648,-0.01229918,0.00000882,0.11101286,0.00007609,0.00105719,0.00014069,-0.21002491,0.00013499
0.100000,0.01577204,0.00000472,0.51002393,0.00002675,-0.01271895,0.00000908,0.11306752,0.00007614,0.00111354,0.00013183,-0.20940813,0.00013438
